,Volcano Name,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
394,Fernandina,Ecuador,Galapagos,-0.37,-91.55,1495.0,Shield volcano,Historical
395,"Firura, Nevados",Peru,Peru,-15.23,-72.63,5498.0,Stratovolcano,Holocene
396,Fisher,United States,Aleutian Is,54.67,-164.35,1094.0,Stratovolcano,Historical
397,Flores,Guatemala,Guatemala,14.3,-90.0,1600.0,Volcanic field,Holocene
398,Flores,Portugal,Azores,39.4,-31.17,915.0,Stratovolcano,Radiocarbon
399,Fogo,Cape Verde,Cape Verde Is,14.95,-24.35,2829.0,Stratovolcano,Historical
400,Fonualei,Tonga,Tonga-SW Pacific,-18.02,-174.325,200.0,Stratovolcano,Historical
401,Forecast Seamount,United States,Mariana Is-C Pacific,13.4,143.917,,Submarine volcano,Fumarolic
402,Fort Portal Field,Uganda,Africa-C,0.7,30.25,1524.0,Tuff cone,Holocene
403,Fort Selkirk,Canada,Canada,62.93,-137.38,1239.0,Volcanic field,Holocene
404,Four Craters Lava Field,United States,US-Oregon,43.361000000000004,-120.669,1501.0,Volcanic field,Holocene
405,"Fournaise, Piton de la",Reunion,Indian O-W,-21.229,55.713,2631.0,Shield volcano,Historical
406,Fourpeaked,United States,Alaska Peninsula,58.77,-153.68,2104.0,Stratovolcano,Uncertain
407,Fremrinamur,Iceland,Iceland-NE,65.43,-16.65,939.0,Stratovolcano,Tephrochronology
408,Frosty,United States,Alaska Peninsula,55.07,-162.82,1920.0,Stratovolcano,Holocene
409,Fuego,Guatemala,Guatemala,14.472999999999999,-90.88,3763.0,Stratovolcano,Historical
410,Fuerteventura,Spain,Canary Is,28.358,-14.02,529.0,Fissure vent,Holocene
411,Fuji,Japan,Honshu-Japan,35.35,138.73,3776.0,Stratovolcano,Historical
412,Fukue-jima,Japan,Kyushu-Japan,32.653,128.851,317.0,Shield volcanoes,Tephrochronology
413,Fukujin,Japan,Volcano Is-Japan,21.925,143.442,-217.0,Submarine volcano,Historical
414,Fukutoku-okanoba,Japan,Volcano Is-Japan,24.28,141.52,-14.0,Submarine volcano,Historical
415,Furnas,Portugal,Azores,37.77,-25.32,805.0,Stratovolcano,Historical
416,Fuss Peak,Russia,Kuril Is,50.27,155.25,1772.0,Stratovolcano,Historical
417,Gabillema,Ethiopia,Africa-NE,11.08,41.27,1459.0,Stratovolcano,Holocene
418,Gada Ale,Ethiopia,Africa-NE,13.975,40.408,287.0,Stratovolcano,Holocene
419,Galapagos Rift,Pacific Ocean,Pacific-E,0.792,-86.15,-2430.0,Submarine volcano,Historical
421,Galeras,Colombia,Colombia,1.22,-77.37,4276.0,Complex volcano,Historical
422,Gallego,Solomon Is.,Solomon Is-SW Pacifi,-9.35,159.73,1000.0,Volcanic field,Holocene
423,Galunggung,Indonesia,Java,-7.25,108.05,2168.0,Stratovolcano,Historical
424,Gamalama,Indonesia,Halmahera-Indonesia,0.8,127.325,1715.0,Stratovolcano,Historical
425,Gamchen,Russia,Kamchatka,54.973,160.702,2576.0,Complex volcano,Holocene
426,Gamkonora,Indonesia,Halmahera-Indonesia,1.375,127.52,1635.0,Stratovolcano,Historical
427,Garbuna Group,Papua New Guinea,New Britain-SW Pac,-5.45,150.03,564.0,Stratovolcano,Holocene
428,Gareloi,United States,Aleutian Is,51.78,-178.8,1573.0,Stratovolcano,Historical
429,Garibaldi Lake,Canada,Canada,49.92,-123.03,2316.0,Volcanic field,Holocene
430,"Garibaldi, Mt.",Canada,Canada,49.85,-123.0,2678.0,Stratovolcano,Radiocarbon
431,Garove,Papua New Guinea,New Britain-SW Pac,-4.692,149.5,368.0,Stratovolcano,Holocene
432,Garua Harbour,Papua New Guinea,New Britain-SW Pac,-5.269,150.088,565.0,Volcanic field,Holocene
433,Gaua,Vanuatu,Vanuatu-SW Pacific,-14.27,167.5,797.0,Stratovolcano,Historical
434,Gedamsa Caldera,Ethiopia,Africa-NE,8.35,39.18,1984.0,Caldera,Holocene
435,Gede,Indonesia,Java,-6.78,106.98,2958.0,Stratovolcano,Historical
436,Genovesa,Ecuador,Galapagos,0.32,-89.958,64.0,Shield volcano,Holocene
437,Geodesistoy,Russia,Kamchatka,56.33,158.67,1170.0,Shield volcano,Holocene
438,Giggenbach,New Zealand,Kermadec Is,-30.035999999999998,-178.713,-65.0,Submarine volcano,Fumarolic
439,Girekol,Turkey,Turkey,39.17,43.33,0.0,Unknown,Holocene
440,Glacier Peak,United States,US-Washington,48.111999999999995,-121.113,3213.0,Stratovolcano,Tephrochronology
441,"Gloria, La",Mexico,Mexico,19.33,-97.25,3500.0,Volcanic field,Holocene
442,Golden Trout Creek,United States,US-California,36.358000000000004,-118.32,2886.0,Volcanic field,Tephrochronology
443,Golets-Tornyi Group,Russia,Kuril Is,45.25,148.35,442.0,Pyroclastic cone,Holocene
444,Gollu Dag,Turkey,Turkey,38.25,34.57,2143.0,Lava dome,Holocene
445,Golovnin,Russia,Kuril Is,43.85,145.53,541.0,Caldera,Historical
446,Goodenough,Papua New Guinea,D'Entrecasteaux Is,-9.48,150.35,220.0,Volcanic field,Holocene
447,Gordon,United States,Alaska-E,62.13,-143.08,2755.0,Cinder cone,Holocene
448,Gorely,Russia,Kamchatka,52.558,158.03,1829.0,Caldera,Historical
449,Goriaschaia Sopka,Russia,Kuril Is,46.83,151.75,891.0,Stratovolcano,Historical
450,Gorny Institute,Russia,Kamchatka,57.33,160.2,2125.0,Stratovolcano,Holocene
451,Graciosa,Portugal,Azores,39.02,-27.97,402.0,Stratovolcano,Holocene
452,Gran Canaria,Spain,Canary Is,28.0,-15.58,1950.0,Fissure vent,Radiocarbon
