,Volcano Name,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
600,Karacalidag,Turkey,Turkey,37.67,39.83,1957.0,Shield volcano,Holocene
601,"Karaha, Kawah",Indonesia,Java,-7.12,108.08,1155.0,Fumarole field,Fumarolic
602,Karang,Indonesia,Java,-6.27,106.042,1778.0,Stratovolcano,Holocene
603,Karangetang [Api Siau],Indonesia,Sangihe Is-Indonesia,2.78,125.48,1784.0,Stratovolcano,Historical
604,Karapinar Field,Turkey,Turkey,37.67,33.65,1302.0,Cinder cone,Holocene
605,Karisimbi,"Congo, DRC",Africa-C,-1.5,29.45,4507.0,Stratovolcano,Holocene
606,Karkar,Papua New Guinea,New Guinea-NE of,-4.649,145.964,1839.0,Stratovolcano,Historical
607,Karpinsky Group,Russia,Kuril Is,50.13,155.37,1345.0,Cone,Historical
608,Kars Plateau,Turkey,Turkey,40.75,42.9,3000.0,Volcanic field,Holocene
609,Karthala,Comoros,Indian O-W,-11.75,43.38,2361.0,Shield volcano,Historical
610,Karymsky,Russia,Kamchatka,54.05,159.43,1536.0,Stratovolcano,Historical
611,Kasatochi,United States,Aleutian Is,52.18,-175.5,314.0,Stratovolcano,Historical
612,Kasbek,Georgia,Georgia,42.7,44.5,5050.0,Stratovolcano,Tephrochronology
613,Kasuga,Japan,Volcano Is-Japan,21.77,143.72,-558.0,Submarine volcano,Uncertain
614,Katla,Iceland,Iceland-S,63.63,-19.05,1512.0,Subglacial volcano,Historical
615,Katmai,United States,Alaska Peninsula,58.27,-154.98,2047.0,Stratovolcano,Historical
616,Katunga,Uganda,Africa-C,-0.47,30.18,1707.0,Tuff cone,Holocene
617,Katwe-Kikorongo Field,Uganda,Africa-C,-0.08,29.92,1067.0,Tuff cone,Holocene
618,Kavachi,Solomon Is.,Solomon Is-SW Pacifi,-9.02,157.95,-20.0,Submarine volcano,Historical
619,Kawi-Butak,Indonesia,Java,-7.92,112.45,2651.0,Stratovolcano,Holocene
620,Kebeney,Russia,Kamchatka,57.1,159.93,1527.0,Shield volcano,Holocene
621,Kekurny,Russia,Kamchatka,56.4,158.85,1377.0,Shield volcano,Holocene
622,Kelimutu,Indonesia,Lesser Sunda Is,-8.758,121.83,1640.0,Complex volcano,Historical
623,Kell,Russia,Kamchatka,51.65,157.35,900.0,Stratovolcano,Holocene
624,Keluo Group,China,China-E,49.37,125.92,670.0,Pyroclastic cone,Holocene
625,Kelut,Indonesia,Java,-7.93,112.30799999999999,1731.0,Stratovolcano,Historical
626,Kendang,Indonesia,Java,-7.23,107.72,2608.0,Stratovolcano,Holocene
627,Kerguelen Islands,French Southern & Antarctic Lands,Indian O-S,-49.58,69.5,1840.0,Stratovolcano,Holocene
628,Kerinci,Indonesia,Sumatra,-1.814,101.264,3800.0,Stratovolcano,Historical
629,Ketoi,Russia,Kuril Is,47.35,152.475,1172.0,Stratovolcano,Historical
630,Khangar,Russia,Kamchatka,54.75,157.38,2000.0,Stratovolcano,Radiocarbon
631,Khanuy Gol,Mongolia,Mongolia,48.67,102.75,1886.0,Volcanic field,Holocene
632,Kharimkotan,Russia,Kuril Is,49.12,154.50799999999998,1145.0,Stratovolcano,Historical
633,"Khaybar, Harrat",Saudi Arabia,Arabia-W,25.0,39.92,2093.0,Volcanic field,Historical
634,Khodutka,Russia,Kamchatka,52.063,157.703,2090.0,Stratovolcano,Radiocarbon
635,Kialagvik,United States,Alaska Peninsula,57.38,-156.75,1575.0,Stratovolcano,Holocene
636,Kiaraberes-Gagak,Indonesia,Java,-6.73,106.65,1511.0,Stratovolcano,Historical
637,Kick-'em-Jenny,Netherlands,W Indies,12.3,-61.63,-177.0,Submarine volcano,Historical
638,Kieyo,Tanzania,Africa-E,-9.23,33.78,2175.0,Stratovolcano,Historical
639,Kikai,Japan,Ryukyu Is,30.78,130.28,717.0,Caldera,Historical
640,Kikhpinych,Russia,Kamchatka,54.486999999999995,160.253,1552.0,Stratovolcano,Radiocarbon
641,Kilauea,United States,Hawaiian Is,19.425,-155.292,1222.0,Shield volcano,Historical
642,Kilimanjaro,Tanzania,Africa-E,-3.07,37.35,5895.0,Stratovolcano,Holocene
643,Kinenin,Russia,Kamchatka,57.35,160.967,583.0,Maar,Radiocarbon
644,Kirishima,Japan,Kyushu-Japan,31.93,130.87,1700.0,Shield volcano,Historical
645,"Kishb, Harrat",Saudi Arabia,Arabia-W,22.8,41.38,1475.0,Volcanic field,Holocene
646,Kiska,United States,Aleutian Is,52.1,177.6,1220.0,Stratovolcano,Historical
647,Kita-Fukutokutai,Japan,Volcano Is-Japan,24.414,141.41899999999998,-73.0,Submarine volcano,Holocene
648,Kita-Iwo-jima,Japan,Volcano Is-Japan,25.43,141.23,792.0,Stratovolcano,Historical
649,Kizimen,Russia,Kamchatka,55.13,160.32,2485.0,Stratovolcano,Historical
650,Klabat,Indonesia,Sulawesi-Indonesia,1.47,125.03,1995.0,Stratovolcano,Fumarolic
651,Kliuchevskoi,Russia,Kamchatka,56.056999999999995,160.638,4835.0,Stratovolcano,Historical
652,Kolbeinsey Ridge,Iceland,Iceland-N of,66.67,-18.5,0.0,Submarine volcano,Historical
653,Kolkhozhny,Russia,Kamchatka,55.07,160.77,2161.0,Stratovolcano,Holocene
654,Kolokol Group,Russia,Kuril Is,46.042,150.05,1328.0,Somma volcano,Historical
655,Komaga-take,Japan,Hokkaido-Japan,42.07,140.68,1140.0,Stratovolcano,Historical
656,Komarov,Russia,Kamchatka,55.032,160.72,2070.0,Stratovolcano,Holocene
657,Kone,Ethiopia,Africa-NE,8.8,39.692,1619.0,Caldera,Historical
658,Koniuji,United States,Aleutian Is,52.22,-175.13,272.0,Stratovolcano,Uncertain
659,Kookooligit Mountains,United States,Alaska-W,63.6,-170.43,673.0,Shield volcano,Holocene
660,Koranga,Papua New Guinea,New Guinea,-7.33,146.708,0.0,Explosion crater,Holocene
661,Korath Range,Ethiopia,Africa-NE,5.1,35.88,912.0,Tuff cone,Holocene
662,Koro,Fiji,Fiji Is-SW Pacific,-17.32,179.4,522.0,Cinder cone,Holocene
663,Korosi,Kenya,Africa-E,0.77,36.12,1446.0,Shield volcano,Holocene
664,Koryaksky,Russia,Kamchatka,53.32,158.688,3456.0,Stratovolcano,Historical
665,Koshelev,Russia,Kamchatka,51.357,156.75,1812.0,Stratovolcano,Historical
666,"Koussi, Emi",Chad,Africa-N,19.8,18.53,3415.0,Stratovolcano,Holocene
667,Kozu-shima,Japan,Izu Is-Japan,34.22,139.15,574.0,Lava dome,Historical
668,Kozyrevsky,Russia,Kamchatka,55.58,158.38,2016.0,Shield volcano,Holocene
669,Krafla,Iceland,Iceland-NE,65.73,-16.78,650.0,Caldera,Historical
670,Krainy,Russia,Kamchatka,56.37,159.03,1554.0,Shield volcano,Holocene
671,Krakagiger,Iceland,Iceland-S,63.98,-19.7,1491.0,Stratovolcano,Historical
672,Krakatau,Indonesia,Indonesia,-6.102,105.42299999999999,813.0,Caldera,Historical
673,Krasheninnikov,Russia,Kamchatka,54.593,160.273,1856.0,Caldera,Radiocarbon
674,Kristnitokugigar,Iceland,Iceland-SW,63.98,-21.42,301.0,Crater rows,Historical
675,Krisuvik,Iceland,Iceland-SW,63.93,-22.1,379.0,Crater rows,Historical
676,Kronotsky,Russia,Kamchatka,54.753,160.52700000000002,3528.0,Stratovolcano,Historical
677,Ksudach,Russia,Kamchatka,51.8,157.53,1079.0,Stratovolcano,Historical
678,Kuchino-shima,Japan,Ryukyu Is,29.97,129.93,627.0,Stratovolcano,Holocene
680,Kuchinoerabu-jima,Japan,Ryukyu Is,30.43,130.22,649.0,Stratovolcano,Historical
681,Kuei-Shan-Tao,Taiwan,Taiwan,24.85,121.92,401.0,Stratovolcano,Pleistocene-Fumarol
682,Kuju Group,Japan,Kyushu-Japan,33.08,131.25,1788.0,Stratovolcano,Historical
683,Kukak,United States,Alaska Peninsula,58.47,-154.35,2040.0,Stratovolcano,Fumarolic
684,Kula,Turkey,Turkey,38.58,28.52,750.0,Cinder cone,Holocene
685,Kulkev,Russia,Kamchatka,56.37,158.37,915.0,Shield volcano,Holocene
686,Kunlun Volc Group,China,China-W,35.52,80.2,5808.0,Pyroclastic cone,Historical
687,Kupreanof,United States,Alaska Peninsula,56.02,-159.8,1895.0,Stratovolcano,Historical
688,Kurikoma,Japan,Honshu-Japan,38.95,140.78,1628.0,Stratovolcano,Historical
689,Kurile Lake,Russia,Kamchatka,51.45,157.12,104.0,Caldera,Radiocarbon
690,Kurose Hole,Japan,Izu Is-Japan,33.4,139.68,-107.0,Submarine volcano,Holocene
692,Kurub,Ethiopia,Africa-NE,11.88,41.208,625.0,Shield volcano,Holocene
693,Kusatsu-Shirane,Japan,Honshu-Japan,36.62,138.55,2176.0,Stratovolcano,Historical
694,Kutcharo,Japan,Hokkaido-Japan,43.55,144.43,1000.0,Caldera,Tephrochronology
695,Kuttara,Japan,Hokkaido-Japan,42.5,141.18,581.0,Stratovolcano,Tephrochronology
696,Kutum Volc Field,Sudan,Africa-N,14.5,25.8,0.0,Scoria cone,Holocene
697,Kuwae,Vanuatu,Vanuatu-SW Pacific,-16.829,168.53599999999997,-2.0,Caldera,Historical
698,Kverkfjoll,Iceland,Iceland-NE,64.65,-16.72,1920.0,Stratovolcano,Historical
699,Kyatwa Volc Field,Uganda,Africa-C,0.45,30.25,1430.0,Tuff cone,Holocene
700,La Palma,Spain,Canary Is,28.58,-17.83,2426.0,Stratovolcano,Historical
701,"Lajas, Las",Nicaragua,Nicaragua,12.3,-85.73,926.0,Shield volcano,Holocene
702,Lakagigar,Sweden,Iceland-NE,64.42,17.33,1725.0,Caldera,Historical
703,Lambafit,Iceland,Iceland-S,64.08,-19.4,550.0,Crater rows,Historical
704,Lamington,Papua New Guinea,New Guinea,-8.95,148.15,1680.0,Stratovolcano,Historical
705,Lamongan,Indonesia,Java,-8.0,113.34200000000001,1651.0,Stratovolcano,Historical
706,Langila,Papua New Guinea,New Britain-SW Pac,-5.525,148.42,1330.0,Complex volcano,Historical
707,Langjokull,Iceland,Iceland-SW,64.75,-19.98,1360.0,Stratovolcano,Radiocarbon
708,Lanin,Argentina,Chile-C,-39.633,-71.5,3747.0,Stratovolcano,Holocene
709,Lanzarote,Spain,Canary Is,29.03,-13.63,670.0,Fissure vent,Historical
710,Larderello,Italy,Italy,43.25,10.87,500.0,Explosion crater,Historical
711,Lascar,Chile,Chile-N,-23.37,-67.73,5592.0,Stratovolcano,Historical
712,Lassen Volc Center,United States,US-California,40.492,-121.508,3187.0,Stratovolcano,Historical
713,Lastarria,Chile,Chile-N,-25.17,-68.5,5697.0,Stratovolcano,Holocene
714,Late,Tonga,Tonga-SW Pacific,-18.805999999999997,-174.65,518.0,Stratovolcano,Historical
715,Latukan,Philippines,Mindanao-Philippines,7.65,124.47,2158.0,Stratovolcano,Holocene
716,Lautaro,Chile,Chile-S,-49.02,-73.55,3380.0,Stratovolcano,Historical
717,Lavic Lake,United States,US-California,34.75,-116.625,1495.0,Volcanic field,Holocene
718,Lawu,Indonesia,Java,-7.625,111.19200000000001,3265.0,Stratovolcano,Holocene
719,Leizhou Bandao,China,SE Asia,20.83,109.78,259.0,Volcanic field,Holocene
720,"Lengai, Ol Doinyo",Tanzania,Africa-E,-2.7510000000000003,35.902,2890.0,Stratovolcano,Historical
721,Leonard Range,Philippines,Mindanao-Philippines,7.393,126.397,1190.0,Stratovolcano,Holocene
722,Leroboleng,Indonesia,Lesser Sunda Is,-8.357999999999999,122.84200000000001,1117.0,Complex volcano,Historical
723,Leskov Island,Antarctica,Antarctica,-56.67,-28.13,190.0,Stratovolcano,Fumarolic
724,Leutongey,Russia,Kamchatka,57.3,159.83,1333.0,Shield volcano,Holocene
725,Level Mountain,Canada,Canada,58.42,-131.35,2190.0,Shield volcano,Holocene
726,Lewotobi,Indonesia,Lesser Sunda Is,-8.53,122.775,1703.0,Stratovolcano,Historical
727,Lewotobi Perempuan,Indonesia,Lesser Sunda Is,-8.575,122.78,1703.0,Stratovolcano,Historical
728,Lewotolo,Indonesia,Lesser Sunda Is,-8.272,123.505,1423.0,Stratovolcano,Historical
729,Lexone,Chile,Chile-N,-17.87,-69.48,5340.0,Lava dome,Holocene
730,Liado Hayk Field,Ethiopia,Africa-NE,9.57,40.28,878.0,Maar,Holocene
731,Liamuiga,St. Kitts & Nevis,W Indies,17.37,-62.8,1156.0,Stratovolcano,Radiocarbon
732,Licancabur,Chile,Chile-N,-22.83,-67.88,5916.0,Stratovolcano,Holocene
733,Lihir,Papua New Guinea,New Ireland-SW Pacif,-3.125,152.642,700.0,Volcanic complex,Holocene
734,Lindenberg Island,Antarctica,Antarctica,-65.03,-60.05,368.0,Pyroclastic cone,Uncertain
735,Lipari,Italy,Italy,38.48,14.95,602.0,Stratovolcano,Historical
737,Little Sitkin,United States,Aleutian Is,51.95,178.53,1188.0,Stratovolcano,Historical
738,Ljosufjoll,Iceland,Iceland-W,64.87,-22.23,988.0,Fissure vent,Anthropology
739,Llaima,Chile,Chile-C,-38.692,-71.729,3125.0,Stratovolcano,Historical
740,Llullaillaco,Argentina,Chile-N,-24.72,-68.53,6739.0,Stratovolcano,Historical
741,Loihi,United States,Hawaiian Is,18.92,-155.27,-975.0,Submarine volcano,Historical
742,Lokon-Empung,Indonesia,Sulawesi-Indonesia,1.358,124.792,1580.0,Stratovolcano,Historical
743,Lolo,Papua New Guinea,New Britain-SW Pac,-5.47,150.5,805.0,Stratovolcano,Holocene
744,Lolobau,Papua New Guinea,New Britain-SW Pac,-4.92,151.158,858.0,Caldera,Historical
745,Loloru,Papua New Guinea,Bougainville-SW Paci,-6.52,155.62,1887.0,Pyroclastic shield,Radiocarbon
746,Lomonosov Group,Russia,Kuril Is,50.25,155.43,1681.0,Cinder cone,Holocene
747,Long Island,Papua New Guinea,New Guinea-NE of,-5.358,147.12,1280.0,Complex volcano,Historical
748,"Longavi, Nevado de",Chile,Chile-C,-36.193000000000005,-71.161,3242.0,Stratovolcano,Holocene
749,Longgang Group,China,China-E,42.33,126.5,1000.0,Cinder cone,Radiocarbon
750,Longonot,Kenya,Africa-E,-0.92,36.45,2776.0,Stratovolcano,Anthropology
751,Lonquimay,Chile,Chile-C,-38.376999999999995,-71.58,2865.0,Stratovolcano,Historical
752,Lopevi,Vanuatu,Vanuatu-SW Pacific,-16.507,168.34599999999998,1413.0,Stratovolcano,Historical
753,Lower Chindwin,Myanmar,SE Asia,22.28,95.1,385.0,Volcanic field,Holocene
754,Lubukraya,Indonesia,Sumatra,1.4780000000000002,99.209,1862.0,Stratovolcano,Holocene
755,"Lumut Balai, Bukit",Indonesia,Sumatra,-4.22,103.62,2055.0,Stratovolcano,Fumarolic
756,"Lunayyir, Harrat",Saudi Arabia,Arabia-W,25.17,37.75,1370.0,Volcanic field,Historical
757,Lurus,Indonesia,Java,-7.7,113.58,539.0,Complex volcano,Holocene
758,Lvinaya Past,Russia,Kuril Is,44.62,147.0,528.0,Stratovolcano,Radiocarbon
759,Lysuholl,Iceland,Iceland-W,64.87,-23.25,540.0,Pyroclastic cone,Holocene
760,Ma Alalta,Ethiopia,Africa-NE,13.02,40.2,1815.0,Stratovolcano,Holocene
761,Maca,Chile,Chile-S,-45.1,-73.2,2960.0,Stratovolcano,Holocene
762,Macauley Island,New Zealand,Kermadec Is,-30.2,-178.47,238.0,Caldera,Holocene
763,Macdonald,Antarctica,Austral Is-C Pacific,-28.98,-140.25,-50.0,Submarine volcano,Historical
764,"Machin, Cerro",Colombia,Colombia,4.48,-75.4,2650.0,Stratovolcano,Radiocarbon
765,Madeira,Portugal,Azores,32.733000000000004,-16.967,1862.0,Shield volcano,Radiocarbon
766,Maderas,Nicaragua,Nicaragua,11.446,-85.515,1394.0,Stratovolcano,Holocene
767,Madilogo,Papua New Guinea,New Guinea,-9.2,147.57,850.0,Pyroclastic cone,Holocene
768,Magaso,Philippines,Philippines-C,9.258,123.175,1904.0,Stratovolcano,Holocene
769,Mageik,United States,Alaska Peninsula,58.2,-155.25,2165.0,Stratovolcano,Historical
770,Mahagnoa,Philippines,Philippines-C,10.872,124.853,800.0,Stratovolcano,Fumarolic
771,Mahawu,Indonesia,Sulawesi-Indonesia,1.358,124.85799999999999,1324.0,Stratovolcano,Historical
772,Maipo,Argentina,Chile-C,-34.161,-69.833,5264.0,Caldera,Historical
773,Makaturing,Philippines,Mindanao-Philippines,7.647,124.32,1940.0,Stratovolcano,Holocene
774,Makian,Indonesia,Halmahera-Indonesia,0.32,127.4,1357.0,Stratovolcano,Historical
775,Makushin,United States,Aleutian Is,53.9,-166.93,2036.0,Stratovolcano,Historical
776,Malabar,Indonesia,Java,-7.13,107.65,2343.0,Stratovolcano,Holocene
777,Malang Plain,Indonesia,Java,-8.02,112.68,680.0,Maar,Holocene
778,Malinao,Philippines,Luzon-Philippines,13.422,123.59700000000001,1548.0,Stratovolcano,Fumarolic
779,"Malinche, La",Mexico,Mexico,19.23,-98.03,4503.0,Stratovolcano,Radiocarbon
780,Malindang,Philippines,Mindanao-Philippines,8.22,123.63,2435.0,Stratovolcano,Holocene
781,Malindig,Philippines,Luzon-Philippines,13.24,122.01799999999999,1157.0,Stratovolcano,Hot Springs
782,Malintang,Indonesia,Sumatra,0.467,99.667,1983.0,Stratovolcano,Holocene
783,Mallahle,Ethiopia,Africa-NE,13.27,41.65,1875.0,Stratovolcano,Holocene
784,Maly Payalpan,Russia,Kamchatka,55.82,157.98,1802.0,Shield volcano,Holocene
785,Maly Semiachik,Russia,Kamchatka,54.13,159.67,1560.0,Caldera,Historical
786,Managlase Plateau,Papua New Guinea,New Guinea,-9.08,148.33,1342.0,Volcanic field,Anthropology
787,Manam,Papua New Guinea,New Guinea-NE of,-4.1,145.061,1807.0,Stratovolcano,Historical
788,Manareyjar,Iceland,Iceland-N,66.3,-17.1,0.0,Submarine volcano,Historical
789,Manda Gargori,Ethiopia,Ethiopia,11.75,41.483000000000004,,Fissure vents,Anthropology
790,Manda Hararo,Ethiopia,Africa-NE,12.17,40.82,600.0,Shield volcano,Holocene
791,Manda-Inakir,Ethiopia,Africa-NE,12.38,42.2,600.0,Fissure vent,Historical
792,Mandalagan,Philippines,Philippines-C,10.615,123.22,1879.0,Stratovolcano,Holocene
793,Manengouba,Cameroon,Africa-W,5.03,9.83,2411.0,Stratovolcano,Holocene
794,Manuk,Pacific Ocean,Banda Sea,-5.53,130.292,282.0,Stratovolcano,Fumarolic
795,Manzaz Volc Field,Algeria,Africa-N,23.916999999999998,5.832999999999999,1672.0,Scoria cones,Holocene
796,Maquiling,Philippines,Luzon-Philippines,14.13,121.2,1090.0,Stratovolcano,Holocene
797,Marapi,Indonesia,Sumatra,-0.381,100.473,2891.0,Complex volcano,Historical
798,Marchena,Ecuador,Galapagos,0.33,-90.47,343.0,Shield volcano,Historical
799,Mare,Indonesia,Halmahera-Indonesia,0.57,127.4,308.0,Unknown,Holocene
800,"Marha, Jabal el-",Yemen,Arabia-S,15.28,44.22,2650.0,Tuff cone,Holocene
801,Marion Island,South Africa,Indian O-S,-46.9,37.75,1230.0,Shield volcano,Historical
802,Mariveles,Philippines,Luzon-Philippines,14.5,120.5,1420.0,Stratovolcano,Radiocarbon
803,Markagunt Plateau,United States,US-Utah,37.58,-112.67,2840.0,Volcanic field,Dendrochronology
804,Maroa,New Zealand,New Zealand,-38.42,176.08,1156.0,Caldera,Tephrochronology
805,"Marra, Jebel",Sudan,Africa-N,12.95,24.27,3042.0,Volcanic field,Radiocarbon
806,Marsabit,Kenya,Africa-E,2.32,37.97,1707.0,Shield volcano,Holocene
807,Martin,United States,Alaska Peninsula,58.17,-155.35,1860.0,Stratovolcano,Historical
808,Masaraga,Philippines,Luzon-Philippines,13.32,123.6,1328.0,Stratovolcano,Holocene
809,Masaya,Nicaragua,Nicaragua,11.984000000000002,-86.161,635.0,Caldera,Historical
810,Mascota Volc Field,Mexico,Mexico,20.62,-104.83,2540.0,Shield volcano,Holocene
811,Mashkovtsev,Russia,Kamchatka,51.1,156.72,503.0,Stratovolcano,Holocene
812,Mashu,Japan,Hokkaido-Japan,43.57,144.57,855.0,Caldera,Radiocarbon
813,Mat Ala,Ethiopia,Africa-NE,13.1,41.15,523.0,Shield volcano,Holocene
814,Matthew Island,Pacific Ocean,SW Pacific,-22.33,171.32,177.0,Stratovolcano,Historical
815,Matutum,Philippines,Mindanao-Philippines,6.37,125.10799999999999,2293.0,Stratovolcano,Holocene
816,Maug Islands,United States,Mariana Is-C Pacific,20.017,145.217,227.0,Stratovolcano,Fumarolic
817,"Maule, Laguna del",Chile,Chile-C,-36.02,-70.58,3092.0,Stratovolcano,Holocene
818,Mauna Kea,United States,Hawaiian Is,19.82,-155.47,4206.0,Shield volcano,Radiocarbon
819,Mauna Loa,United States,Hawaiian Is,19.475,-155.608,4170.0,Shield volcano,Historical
820,May-ya-moto,"Congo, DRC",Africa-C,-0.93,29.33,950.0,Fumarole field,Fumarolic
821,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462.0,Stratovolcano,Historical
822,Mayor Island,New Zealand,New Zealand,-37.28,176.25,355.0,Shield volcano,Radiocarbon
823,McDonald Islands,Indian Ocean,Indian O-S,-53.03,72.6,186.0,Complex volcano,Historical
824,Meager,Canada,Canada,50.63,-123.5,2680.0,Complex volcano,Radiocarbon
825,Medicine Lake,United States,US-California,41.58,-121.57,2412.0,Shield volcano,Radiocarbon
826,Medvezhia,Russia,Kuril Is,45.38,148.83,1124.0,Somma volcano,Historical
827,Mega Basalt Field,Kenya,Africa-E,4.08,37.42,1067.0,Pyroclastic cone,Holocene
828,Megata,Japan,Honshu-Japan,39.95,139.73,291.0,Maar,Tephrochronology
829,Mehetia,France,Society Is-C Pacific,-17.87,-148.07,435.0,Stratovolcano,Anthropology
830,Meidob Volc Field,Sudan,Africa-N,15.32,26.47,2000.0,Scoria cone,Holocene
831,Melbourne,Antarctica,Antarctica,-74.35,164.7,2732.0,Stratovolcano,Tephrochronology
832,Melimoyu,Chile,Chile-S,-44.08,-72.88,2400.0,Stratovolcano,Holocene
833,Mendeleev,Russia,Kuril Is,43.98,145.7,887.0,Stratovolcano,Historical
834,Menengai,Kenya,Africa-E,-0.2,36.07,2278.0,Shield volcano,Tephrochronology
835,Mentolat,Chile,Chile-S,-44.67,-73.08,1660.0,Stratovolcano,Holocene
836,Merapi,Indonesia,Java,-7.542000000000001,110.44200000000001,2947.0,Stratovolcano,Historical
837,Merbabu,Indonesia,Java,-7.45,110.43,3145.0,Stratovolcano,Historical
838,Mere Lava,Vanuatu,Vanuatu-SW Pacific,-14.45,168.05,1028.0,Stratovolcano,Holocene
839,Meru,Tanzania,Africa-E,-3.25,36.75,4565.0,Stratovolcano,Historical
840,Methana,Greece,Greece,37.615,23.336,760.0,Lava dome,Historical
841,Metis Shoal,Tonga,Tonga-SW Pacific,-19.18,-174.87,43.0,Submarine volcano,Historical
842,Mezhdusopochny,Russia,Kamchatka,57.47,160.25,1641.0,Shield volcano,Holocene
843,Michael,Antarctica,Antarctica,-57.78,-26.45,990.0,Stratovolcano,Historical
844,Michoacan-Guanajuato,Mexico,Mexico,19.48,-102.25,3860.0,Cinder cone,Historical
845,Micotrin,Dominica,W Indies,15.33,-61.33,1387.0,Lava dome,Historical
846,Middle Gobi,Mongolia,Mongolia,45.28,106.7,1120.0,Cinder cone,Holocene
847,Milbanke Sound Group,Canada,Canada,52.5,-128.73,335.0,Cinder cone,Holocene
848,Milne,Russia,Kuril Is,46.82,151.78,1540.0,Somma volcano,Holocene
849,Milos,Greece,Greece,36.699,24.439,751.0,Stratovolcano,Holocene
850,Minami-Hiyoshi,Japan,Volcano Is-Japan,23.506999999999998,141.905,-30.0,Submarine volcano,Historical
851,Minchinmavida,Chile,Chile-S,-42.78,-72.43,2404.0,Stratovolcano,Historical
852,Miravalles,Costa Rica,Costa Rica,10.748,-85.15299999999999,2028.0,Stratovolcano,Historical
853,"Misti, El",Peru,Peru,-16.294,-71.40899999999999,5822.0,Stratovolcano,Historical
854,Miyake-jima,Japan,Izu Is-Japan,34.08,139.53,815.0,Stratovolcano,Historical
855,Mocho-Choshuenco,Chile,Chile-C,-39.927,-72.027,2422.0,Stratovolcano,Historical
856,Moffett,United States,Aleutian Is,51.93,-176.75,1196.0,Stratovolcano,Holocene
857,Mojanda,Ecuador,Ecuador,0.13,-78.27,4263.0,Stratovolcano,Holocene
859,Mokuyo Seamount,Japan,Izu Is-Japan,28.316999999999997,140.567,-920.0,Submarine volcano,Fumarolic
860,Mombacho,Nicaragua,Nicaragua,11.825999999999999,-85.96799999999999,1344.0,Stratovolcano,Holocene
861,Momotombo,Nicaragua,Nicaragua,12.422,-86.54,1297.0,Stratovolcano,Historical
862,Monaco Bank,Portugal,Azores,37.6,-25.88,-197.0,Submarine volcano,Historical
863,Mondaca,Chile,Chile-C,-35.464,-70.8,2048.0,Lava dome,Holocene
864,Mono Craters,United States,US-California,37.88,-119.0,2796.0,Lava dome,Radiocarbon
865,Mono Lake Volc Field,United States,US-California,38.0,-119.03,2121.0,Cinder cone,Tephrochronology
866,Monowai Seamount,New Zealand,Kermadec Is,-25.886999999999997,-177.188,-100.0,Submarine volcano,Historical
867,Montagu Island,Antarctica,Antarctica,-58.417,-26.333000000000002,1370.0,Shield volcano,Historical
868,"Morning, Mt.",Antarctica,Antarctica,-78.5,163.533,2723.0,Shield volcano,Holocene
869,Moti,Indonesia,Halmahera-Indonesia,0.45,127.4,950.0,Stratovolcano,Holocene
870,Motlav,Vanuatu,Vanuatu-SW Pacific,-13.67,167.67,411.0,Stratovolcano,Holocene
871,Moua Pihaa,France,Society Is-C Pacific,-18.32,-148.67,-180.0,Submarine volcano,Seismicity
872,Mousa Alli,Djibouti,Africa-NE,12.47,42.4,2028.0,Stratovolcano,Holocene
873,Moyuta,Guatemala,Guatemala,14.03,-90.1,1662.0,Stratovolcano,Hot Springs
874,Muhavura,Uganda,Africa-C,-1.38,29.67,4127.0,Stratovolcano,Holocene
875,Mundafell,Iceland,Iceland-S,63.98,-19.7,1491.0,Stratovolcano,Historical
876,Mundua,Papua New Guinea,New Britain-SW Pac,-4.63,149.35,179.0,Complex volcano,Holocene
877,Muria,Indonesia,Java,-6.617000000000001,110.883,1625.0,Stratovolcano,Holocene
878,Musa River,Papua New Guinea,New Guinea,-9.308,148.13,808.0,Hydrothermal field,Hot Springs
879,Mutnovsky,Russia,Kamchatka,52.453,158.195,2322.0,Complex volcano,Historical
880,Myojun Knoll,Japan,Izu Is-Japan,32.1,139.85,360.0,Submarine volcano,Holocene
881,Myoko,Japan,Honshu-Japan,36.88,138.12,2446.0,Stratovolcano,Radiocarbon
882,NW Rota-1,United States,Mariana Is-C Pacific,14.600999999999999,144.775,-517.0,Submarine volcano,Historical
883,Nabro,Eritrea,Africa-NE,13.37,41.7,2218.0,Stratovolcano,Holocene
884,Nabukelevu,Tonga,Fiji Is-SW Pacific,-19.117,177.983,805.0,Lava domes,Radiocarbon
885,Nakano-shima,Japan,Ryukyu Is,29.85,129.87,979.0,Stratovolcano,Historical
886,Namarunu,Kenya,Africa-E,1.9,36.27,817.0,Shield volcano,Tephrochronology
887,Nantai,Japan,Honshu-Japan,36.77,139.5,2484.0,Stratovolcano,Holocene
888,Naolinco Volc Field,Mexico,Mexico,19.67,-96.75,2000.0,Pyroclastic cone,Holocene
889,Narcondum,India,Andaman Is-Indian O,13.43,94.25,710.0,Stratovolcano,Holocene
890,Narugo,Japan,Honshu-Japan,38.73,140.73,462.0,Caldera,Historical
891,Nasu,Japan,Honshu-Japan,37.12,139.97,1917.0,Stratovolcano,Historical
892,Natib,Philippines,Luzon-Philippines,14.705,120.4,1287.0,Stratovolcano,Holocene
