,Volcano Name,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Country_x,Region_x,Latitude,Longitude_x,Elevation_x,Primary Volcano Type_x,Status,Country_y,Region_y,Longitude_y,Elevation_y,Primary Volcano Type_y
7913,Sheveluch,3.0,-4350.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7914,Sheveluch,5.0,-4400.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7915,Sheveluch,3.0,-4530.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7916,Sheveluch,3.0,-4900.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7917,Sheveluch,3.0,-5400.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7918,Sheveluch,5.0,-5500.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7919,Sheveluch,3.0,-6000.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7920,Sheveluch,3.0,-6100.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7921,Sheveluch,3.0,-6200.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7922,Sheveluch,4.0,-6350.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7923,Sheveluch,4.0,-6380.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7924,Sheveluch,4.0,-6400.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7925,Sheveluch,3.0,-6500.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7926,Sheveluch,4.0,-6600.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7927,Sheveluch,5.0,-6800.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7928,Sheveluch,3.0,-7000.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7929,Sheveluch,5.0,-7150.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7930,Sheveluch,5.0,-7300.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7931,Sheveluch,5.0,-7400.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7932,Sheveluch,4.0,-7500.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7933,Sheveluch,3.0,-7550.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7934,Sheveluch,4.0,-7600.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7935,Sheveluch,4.0,-7630.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7936,Sheveluch,4.0,-7700.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7937,Sheveluch,3.0,-7750.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7938,Sheveluch,3.0,-7850.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7939,Sheveluch,4.0,-7950.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7940,Sheveluch,4.0,-8100.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7941,Sheveluch,4.0,-8200.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7942,Sheveluch,4.0,-8350.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7943,Sheveluch,3.0,-8450.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7944,Sheveluch,3.0,-8500.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,56.653,161.36,3283,Stratovolcano,,Russia,Kamchatka and Mainland Asia,161.36,3283,Stratovolcano
7945,Shikotsu,0.0,1981.0,2.0,27.0,,,,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7946,Shikotsu,1.0,1978.0,12.0,12.0,1979.0,5.0,11.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7947,Shikotsu,1.0,1978.0,5.0,14.0,1978.0,5.0,17.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7948,Shikotsu,1.0,1954.0,11.0,19.0,1955.0,2.0,14.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7949,Shikotsu,1.0,1954.0,5.0,2.0,1954.0,5.0,2.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7950,Shikotsu,1.0,1953.0,9.0,14.0,1953.0,9.0,14.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7951,Shikotsu,2.0,1951.0,7.0,28.0,1951.0,7.0,28.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7952,Shikotsu,2.0,1951.0,1.0,29.0,1951.0,1.0,29.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7953,Shikotsu,1.0,1944.0,7.0,2.0,1944.0,7.0,2.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7954,Shikotsu,1.0,1936.0,11.0,15.0,1936.0,11.0,26.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7955,Shikotsu,1.0,1936.0,4.0,19.0,1936.0,4.0,19.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7956,Shikotsu,2.0,1933.0,12.0,1.0,1933.0,12.0,14.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7957,Shikotsu,1.0,1931.0,10.0,11.0,1931.0,10.0,24.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7958,Shikotsu,1.0,1928.0,9.0,6.0,1929.0,2.0,10.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7959,Shikotsu,2.0,1928.0,1.0,7.0,1928.0,1.0,7.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7960,Shikotsu,2.0,1926.0,10.0,19.0,1926.0,10.0,30.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7961,Shikotsu,1.0,1923.0,2.0,0.0,1923.0,8.0,23.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7962,Shikotsu,1.0,1921.0,7.0,6.0,1921.0,7.0,6.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7963,Shikotsu,1.0,1920.0,7.0,17.0,1920.0,7.0,23.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
