,Volcano Name,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
29,Deception Island,3.0,1970.0,8.0,12.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
30,Deception Island,3.0,1969.0,2.0,21.0,1969.0,3.0,16.0,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
31,Deception Island,3.0,1967.0,12.0,4.0,1967.0,12.0,7.0,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
32,Deception Island,3.0,1912.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
33,Deception Island,,1871.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
34,Deception Island,2.0,1842.0,2.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
35,Deception Island,,1827.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
36,Deception Island,,1800.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
37,Deception Island,,1641.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
38,Deception Island,,1500.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
39,Deception Island,,1200.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
40,Deception Island,,900.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
41,Deception Island,,600.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
42,Deception Island,,100.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
43,Deception Island,,-100.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
44,Deception Island,,-250.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
45,Deception Island,,-550.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
46,Deception Island,,-700.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
47,Deception Island,,-750.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
48,Deception Island,,-800.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
49,Deception Island,,-1550.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
50,Deception Island,,-2750.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
51,Deception Island,,-3250.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
52,Deception Island,,-6750.0,0.0,0.0,,,,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,
53,Penguin Island,,1905.0,0.0,0.0,,,,Antarctica,Antarctica,-62.1,-57.93,180,Stratovolcano,Lichenometry
54,Penguin Island,,1850.0,0.0,0.0,,,,Antarctica,Antarctica,-62.1,-57.93,180,Stratovolcano,Lichenometry
55,Penguin Island,,1683.0,0.0,0.0,,,,Antarctica,Antarctica,-62.1,-57.93,180,Stratovolcano,Lichenometry
56,Southern Thule,1.0,1975.0,7.0,2.0,,,,United Kingdom,Antarctica,-59.442,-27.225,1075,Stratovolcano(es),
57,Bristol Island,1.0,2016.0,4.0,24.0,2016.0,7.0,19.0,United Kingdom,Antarctica,-59.017,-26.533,1100,Stratovolcano,
58,Bristol Island,3.0,1956.0,1.0,11.0,1956.0,1.0,19.0,United Kingdom,Antarctica,-59.017,-26.533,1100,Stratovolcano,
59,Bristol Island,2.0,1950.0,3.0,27.0,,,,United Kingdom,Antarctica,-59.017,-26.533,1100,Stratovolcano,
60,Bristol Island,2.0,1936.0,12.0,18.0,1937.0,1.0,1.0,United Kingdom,Antarctica,-59.017,-26.533,1100,Stratovolcano,
61,Bristol Island,2.0,1935.0,12.0,31.0,,,,United Kingdom,Antarctica,-59.017,-26.533,1100,Stratovolcano,
62,Bristol Island,2.0,1823.0,0.0,0.0,,,,United Kingdom,Antarctica,-59.017,-26.533,1100,Stratovolcano,
63,Montagu Island,1.0,2001.0,10.0,1.0,2007.0,9.0,20.0,United Kingdom,Antarctica,-58.445,-26.374,1370,Shield,
64,Saunders,0.0,2015.0,8.0,28.0,2015.0,10.0,8.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
65,Saunders,0.0,2012.0,6.0,30.0,2012.0,11.0,22.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
66,Saunders,1.0,2010.0,11.0,17.0,2010.0,11.0,17.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
67,Saunders,0.0,2008.0,10.0,25.0,2008.0,10.0,25.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
68,Saunders,0.0,2008.0,1.0,8.0,2008.0,1.0,8.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
69,Saunders,0.0,2006.0,6.0,9.0,2006.0,12.0,6.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
70,Saunders,0.0,2005.0,10.0,2.0,2006.0,1.0,20.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
71,Saunders,0.0,2003.0,5.0,6.0,2003.0,5.0,6.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
72,Saunders,0.0,2002.0,7.0,16.0,2002.0,11.0,16.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
73,Saunders,0.0,2001.0,9.0,16.0,2001.0,11.0,16.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
74,Saunders,0.0,2000.0,8.0,16.0,2001.0,1.0,16.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
75,Saunders,0.0,1997.0,5.0,16.0,1998.0,2.0,16.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
76,Saunders,0.0,1996.0,10.0,16.0,,,,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
77,Saunders,0.0,1995.0,10.0,5.0,1996.0,4.0,16.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
78,Saunders,0.0,1995.0,4.0,16.0,1996.0,6.0,16.0,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
79,Saunders,0.0,1900.0,0.0,0.0,,,,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
80,Saunders,2.0,1819.0,12.0,29.0,,,,United Kingdom,Antarctica,-57.8,-26.483,843,Stratovolcano,
81,Candlemas Island,2.0,1911.0,11.0,6.0,,,,United Kingdom,Antarctica,-57.08,-26.67,550,Stratovolcano,Historical
82,Candlemas Island,2.0,1823.0,0.0,0.0,,,,United Kingdom,Antarctica,-57.08,-26.67,550,Stratovolcano,Historical
83,Candlemas Island,,-1250.0,0.0,0.0,,,,United Kingdom,Antarctica,-57.08,-26.67,550,Stratovolcano,Historical
84,Zavodovski,1.0,2016.0,3.0,30.0,2016.0,5.0,16.0,United Kingdom,Antarctica,-56.3,-27.57,551,Stratovolcano,Historical
85,Zavodovski,2.0,1819.0,12.0,0.0,,,,United Kingdom,Antarctica,-56.3,-27.57,551,Stratovolcano,Historical
86,Protector Seamounts,0.0,1962.0,3.0,5.0,,,,United Kingdom,Antarctica,-55.912,-28.167,-55,Submarine,
87,Fueguino,2.0,1820.0,11.0,25.0,1820.0,11.0,26.0,Chile,South America,-54.97,-70.262,157,Lava dome(s),
88,Bouvet,0.0,-50.0,0.0,0.0,,,,Norway,Atlantic Ocean,-54.408,3.351,741,Shield,
89,Heard,0.0,2012.0,9.0,5.0,2017.0,11.0,11.0,Australia,Middle East and Indian Ocean,-53.106,73.513,2745,Stratovolcano,Historical
90,Heard,0.0,2006.0,3.0,11.0,2008.0,3.0,3.0,Australia,Middle East and Indian Ocean,-53.106,73.513,2745,Stratovolcano,Historical
91,Heard,0.0,2003.0,6.0,9.0,2004.0,6.0,14.0,Australia,Middle East and Indian Ocean,-53.106,73.513,2745,Stratovolcano,Historical
92,Heard,2.0,2000.0,3.0,7.0,2001.0,2.0,16.0,Australia,Middle East and Indian Ocean,-53.106,73.513,2745,Stratovolcano,Historical
93,Heard,2.0,1993.0,1.0,2.0,,,,Australia,Middle East and Indian Ocean,-53.106,73.513,2745,Stratovolcano,Historical
94,Heard,0.0,1992.0,5.0,29.0,,,,Australia,Middle East and Indian Ocean,-53.106,73.513,2745,Stratovolcano,Historical
95,Heard,2.0,1985.0,1.0,14.0,1987.0,1.0,16.0,Australia,Middle East and Indian Ocean,-53.106,73.513,2745,Stratovolcano,Historical
96,Heard,2.0,1954.0,4.0,13.0,1954.0,6.0,13.0,Australia,Middle East and Indian Ocean,-53.106,73.513,2745,Stratovolcano,Historical
97,Heard,2.0,1953.0,8.0,20.0,1953.0,11.0,18.0,Australia,Middle East and Indian Ocean,-53.106,73.513,2745,Stratovolcano,Historical
