,city,lat,lng,pop,country,time,dist,risk
979,Maringa,-23.4095414,-51.92996749,320029.5,Brazil,43.0,165.14018374616893,3.9920986942782846
980,Cascavel,-24.95957599,-53.46002914,229300.0,Brazil,2540.0,686.7465714176913,1.2688862930597893
981,Campo Murao,-24.04960569,-52.41998926,74173.0,Brazil,2462.0,89.019048195761,4.276783135845679
982,Foz do Iguacu,-25.52346922,-54.52998967,366989.0,Brazil,360.0,790.6234880052118,1.3010046259345194
983,Sao Francisco do Sul,-26.23960122,-48.59998987,24354.5,Brazil,53.0,501.4033055474004,2.103560808466581
984,Porto Uniao,-26.23960122,-51.07996769,50242.5,Brazil,8.0,13.311237646901251,7.889366496512699
985,Itajai,-26.89961261,-48.68001083,241421.0,Brazil,7370.0,326.7081296505803,2.30016338176804
986,Imbituba,-28.22960895,-48.66001205,28380.0,Brazil,482.0,427.13196310102103,2.02809501223388
987,Lajes,-27.80958291,-50.30998885,139972.0,Brazil,27.0,283.09793245733937,3.2219547455103186
988,Granja,-3.119513734,-40.83999841,17233.0,Brazil,212.0,140.78087800523755,3.771388302531525
989,Crato,-7.2295987760000004,-39.42000757,164149.5,Brazil,5.0,171.4778101859588,4.404601009816295
990,Itapipoca,-3.4995422169999997,-39.58002364,31041.0,Brazil,11470.0,873.8586440422193,0.6353165841056454
991,Paracuru,-3.399548321,-39.04003076,19860.0,Brazil,32.0,557.6291728698056,2.024245070330269
992,Acarau,-2.8896052869999997,-40.11999068,21024.5,Brazil,144.0,963.6875404830486,0.935906548460539
993,Taua,-5.9994929820000005,-40.31003076,29188.0,Brazil,29.0,705.6062616902645,1.7166527118418113
994,Crateus,-5.165590394,-40.66600387,40338.0,Brazil,679.0,141.39178673083035,3.679916176789817
995,Baturite,-4.329569073,-38.87998885,17797.5,Brazil,8570.0,274.31186239784734,2.3718666541483113
996,Ipu,-4.319595521,-40.72005742,14479.5,Brazil,8460.0,198.6300005995524,2.8435085265789684
997,Floriano,-6.769575176,-43.029968100000005,35923.0,Brazil,26.0,444.44506133681114,2.4551657850013995
998,Piripiri,-4.269572735,-41.78999211,32639.0,Brazil,4.0,119.589875479168,4.8979982686255354
999,Penedo,-10.26961994,-36.58002588,37515.5,Brazil,3080.0,305.6592299061628,2.355408090711552
1000,Itabuna,-14.78960244,-39.28001611,213799.0,Brazil,5.0,183.07529536605676,4.322737497560473
1001,Itamaraju,-17.0395943,-39.52994918,35055.0,Brazil,5370.0,375.3029370142133,1.989315626086553
1002,Guanambi,-14.22958494,-42.78998275,45730.0,Brazil,4320.0,99.53808173357459,4.024105088281212
1003,Porto Seguro,-16.42960569,-39.08002832,72031.0,Brazil,9.0,502.6336895888584,2.567877416375576
1004,Valenca,-13.3596122,-39.08002832,56584.5,Brazil,10420.0,563.8500345139009,1.3504680338370023
1005,Serrinha,-11.64958738,-39.01000676,52953.5,Brazil,77.0,630.0203054838311,1.7480824536487312
1006,Tucano,-10.96962889,-38.78999435,16199.0,Brazil,670.0,58.659199708396464,4.921423228863202
1007,Senhor do Bonfim,-10.44960895,-40.19001225,43577.0,Brazil,134.0,776.56274775296,1.3281063403103806
1008,Remanso,-9.599583314,-42.10999841,37945.0,Brazil,3.0,130.04736995528077,4.865063367248817
1009,Itambe,-15.23960081,-40.62998539,15450.5,Brazil,41.0,197.03345352961782,3.527880542163824
1010,Bom Jesus da Lapa,-13.249541399999998,-43.44002059,40691.0,Brazil,28.0,301.9355094224898,3.0333093649330194
1011,Itaberaba,-12.5196118,-40.2999797,31722.0,Brazil,235.0,140.56961042297843,3.805442742286209
1012,Sao Mateus,-18.72962034,-39.85998071,63375.5,Brazil,1134.0,454.3472032136601,1.8936358131297284
1013,Patos,-7.019585756000001,-37.29000838,85720.5,Brazil,840.0,106.43131167290316,4.132791647608827
1014,Volta Redonda,-22.51956989,-44.09496769,352971.0,Brazil,1720.0,480.49756664819205,1.8749933478813325
1015,Petropolis,-22.50949298,-43.19998356,279381.0,Brazil,9.0,263.2449355007071,3.632998838124846
1016,Nova Cruz,-6.469593487000001,-35.43999211,22563.5,Brazil,37.0,288.12123294459735,3.004086489959237
1017,Caico,-6.459619935,-37.10001998,42378.0,Brazil,10320.0,554.6831166077388,1.3557424632876776
1018,Acu,-5.57962197,-36.91005742,33303.0,Brazil,7270.0,437.550697484269,1.7270008748839971
1019,Estancia,-11.26961058,-37.45002446,50690.0,Brazil,97.0,94.05736740631241,4.57186531940485
1020,Caracarai,1.816231505,-61.12767481,11368.0,Brazil,30.0,144.78143346010043,4.028636290509266
1021,Porto Santana,-0.039598369,-51.17998743,68849.0,Brazil,111.0,297.9974610008483,2.8395582183008066
1022,Rio Verde,-17.81959837,-50.92997685,48318.0,Brazil,50.0,428.54630688607944,2.401933167521983
1023,Pires do Rio,-17.29952675,-48.27998356,21688.0,Brazil,670.0,24.279936370748725,6.21606514348767
1024,Anapolis,-16.31958657,-48.9599679,278595.5,Brazil,210.0,371.7032828969763,2.500330721831862
1025,Goianesia,-15.30962238,-49.1300092,39217.5,Brazil,44.0,441.29069528177115,2.366682591130016
1026,Niquelandia,-14.46962197,-48.47002364,19785.0,Brazil,5.0,83.21793607558939,5.338262409468255
1027,Itumbiara,-18.39961465,-49.21000431,65343.5,Brazil,106.0,689.3259646775567,1.5736835211484148
1028,Jatai,-17.87959471,-51.75000431,57135.0,Brazil,9570.0,343.55397399396236,2.1081896718667426
1029,Mineiros,-17.56953611,-52.55998071,28247.0,Brazil,270.0,37.48094043430953,5.730681526079858
1030,Formosa,-15.53947915,-47.33998926,62585.5,Brazil,530.0,1167.773584408248,0.5479954326019516
1031,Sao Jose do Rio Preto,-20.79962319,-49.38996749,358243.5,Brazil,55.0,335.1856224321843,2.885731005032734
1032,Limeira,-22.54954222,-47.40001144,241071.0,Brazil,5.0,644.2144977650331,2.4285892155997164
1033,Taubate,-23.01953937,-45.55999455,327600.5,Brazil,240.0,143.30955091128257,3.9280688531277552
1034,Jau,-22.28960976,-48.57001754,102565.5,Brazil,64.0,288.3346050108595,3.0079014450600297
1035,Assis,-22.65961302,-50.41998214,79133.0,Brazil,9070.0,343.1309852076671,2.136797233039969
1036,Itapeva,-23.97958413,-48.88002446,55324.0,Brazil,1070.0,208.63860182634798,3.066267037697256
1037,Botucatu,-22.87959959,-48.44999903,94938.5,Brazil,2798.0,540.2488967288407,1.5669012835192044
1038,Novo Horizonte,-21.45958291,-49.2200037,29554.0,Brazil,2570.0,373.3651151440686,2.0528132859154407
1039,Andradina,-20.90959064,-51.37994938,45715.0,Brazil,132.0,201.09342659550282,3.377419379348749
1040,Fernandopolis,-20.2696297,-50.26004358,55587.0,Brazil,6.0,197.60696642421698,4.068910837100442
1041,Barreiros,-8.829604473,-35.20000676,35472.5,Brazil,52.0,489.05932040351166,2.1726000631504148
1042,Salgueiro,-8.059625632000001,-39.13002527,31565.0,Brazil,210.0,408.4244108263189,2.212714130980696
1043,Goiana,-7.559604472999999,-34.99999312,57764.5,Brazil,4.0,64.3422120045864,5.859992633990559
1044,Timbauba,-7.499608135,-35.32002527,51327.5,Brazil,33.0,569.8703922164723,2.0547734707148004
1045,Bacabal,-4.229988588,-44.79998926,57296.5,Brazil,1070.0,242.15556022309778,2.844139600070056
1046,Braganca,-1.05002765,-46.76999821,56864.5,Brazil,4870.0,153.2751058794152,3.3826103193467825
1047,Obidos,-1.910026836,-55.52000676,26278.5,Brazil,55.0,133.9908791895193,4.092933496673851
1048,Guajara-Miram,-10.80002684,-65.34994938,51852.5,Brazil,1810.0,93.87514505151212,4.203597004677936
1049,Porto Nacional,-10.70003294,-48.41994918,9129.0,Brazil,30.0,355.7387948339693,2.655756608330711
1050,Dourados,-22.23002684,-54.80999841,144743.5,Brazil,3.0,374.92613488399013,3.360815899472257
1051,Governador Valadares,-18.87002521,-41.97000696,201317.0,Brazil,24.0,318.11894534547355,3.0937958710887195
1052,Pirapora,-17.33001585,-44.92998132,55910.0,Brazil,566.0,138.46798388030368,3.7557475330786554
1053,Juiz de Fora,-21.77000324,-43.3749858,464764.5,Brazil,60.0,1050.604057569946,1.154149238842017
1054,Santa Maria,-29.68331867,-53.80000838,239211.5,Brazil,30.0,288.28293839340813,3.20626931487534
1055,Passo Fundo,-28.25002114,-52.41998926,164047.0,Brazil,7.0,102.3948764840963,5.084562939807247
1056,Xapeco,-27.10001382,-52.64002751,154794.0,Brazil,1460.0,189.5702990066621,3.245949355798357
1057,Joinville,-26.31995807,-48.83994938,710737.5,Brazil,4.0,370.72672082609466,3.3918207093511468
1058,Juazeiro do Norte,-7.210013409,-39.32001367,222861.0,Brazil,5.0,496.31318459697576,2.8190126063359386
1059,Nova Vicosa,-17.88000812,-39.37001062,30250.0,Brazil,6966.0,246.9843734830113,2.58796994790227
